experiment_name,dataset,examples_per_class,warmup_epochs,optimizer,seed,best_val_acc,final_val_acc,training_time_seconds,total_epochs,batch_size
medmnist_500epc_w1_sgd_s42,medmnist,500,1,sgd,42,77.24233983286908,74.33147632311977,138.66001677513123,85,256
medmnist_500epc_w5_sgd_s42,medmnist,500,5,sgd,42,79.81894150417827,77.75766016713092,137.5710117816925,85,256
medmnist_500epc_w10_sgd_s42,medmnist,500,10,sgd,42,80.47353760445682,79.52646239554318,137.4288513660431,85,256
medmnist_500epc_w20_sgd_s42,medmnist,500,20,sgd,42,79.08077994428969,78.67688022284122,140.9165062904358,85,256
medmnist_100epc_w0_sgd_s42,medmnist,100,0,sgd,42,75.15320334261838,68.64902506963789,104.48599219322205,85,256
medmnist_100epc_w1_sgd_s42,medmnist,100,1,sgd,42,67.6740947075209,65.71030640668523,104.56345653533936,85,256
medmnist_100epc_w5_sgd_s42,medmnist,100,5,sgd,42,73.46796657381616,72.7158774373259,102.86263132095337,85,256
medmnist_100epc_w10_sgd_s42,medmnist,100,10,sgd,42,72.43732590529248,71.54596100278552,104.72195625305176,85,256
medmnist_100epc_w20_sgd_s42,medmnist,100,20,sgd,42,64.30362116991644,62.17270194986072,103.6949234008789,85,256
medmnist_50epc_w0_sgd_s42,medmnist,50,0,sgd,42,74.38718662952647,69.77715877437326,99.66154193878174,85,256
medmnist_50epc_w1_sgd_s42,medmnist,50,1,sgd,42,65.5292479108635,65.5292479108635,104.11686491966248,85,256
medmnist_50epc_w5_sgd_s42,medmnist,50,5,sgd,42,72.29805013927577,67.89693593314763,99.41008138656616,85,256
medmnist_50epc_w10_sgd_s42,medmnist,50,10,sgd,42,70.02785515320335,65.69637883008356,100.1611876487732,85,256
medmnist_50epc_w20_sgd_s42,medmnist,50,20,sgd,42,68.07799442896936,66.61559888579387,100.56175184249878,85,256
cifar10_5000epc_w0_adamw_s42,cifar10,5000,0,adamw,42,93.43,93.43,1004.5917904376984,85,256
cifar100_5000epc_w0_adamw_s42,cifar100,5000,0,adamw,42,72.59,72.56,1011.2776284217834,85,256
cifar10_5000epc_w5_adamw_s42,cifar10,5000,5,adamw,42,93.6,93.51,1017.6302947998047,85,256
cifar100_5000epc_w5_adamw_s42,cifar100,5000,5,adamw,42,72.72,72.54,349.03605246543884,85,256
cifar10_5000epc_w20_adamw_s42,cifar10,5000,20,adamw,42,93.2,93.08,997.3379745483398,85,256
